date,price
2024-05-18,247.0
2024-05-19,196.0
2024-05-20,196.0
2024-05-21,196.0
2024-05-22,196.0
2024-05-23,196.0
2024-05-24,196.0
2024-05-25,196.0
2024-05-26,196.0
2024-05-27,252.0
2024-05-28,252.0
2024-05-29,252.0
2024-05-30,252.0
2024-05-31,196.0
2024-06-01,196.0
2024-06-02,196.0
2024-06-03,196.0
2024-06-04,196.0
2024-06-05,196.0
2024-06-06,196.0
2024-06-07,229.0
2024-06-08,229.0
2024-06-09,222.0
2024-06-10,196.0
2024-06-11,196.0
2024-06-12,196.0
2024-06-13,194.0
2024-06-14,227.0
2024-06-15,227.0
2024-06-16,219.0
2024-06-17,194.0
2024-06-18,194.0
2024-06-19,194.0
2024-06-20,196.0
2024-06-21,196.0
2024-06-22,240.0
2024-06-23,239.0
2024-06-24,235.0
2024-06-25,235.0
2024-06-26,235.0
2024-06-27,235.0
2024-06-28,240.0
2024-06-29,234.0
2024-06-30,229.0
2024-07-01,214.0
2024-07-02,217.0
2024-07-03,219.0
2024-07-04,214.0
2024-07-05,222.0
2024-07-06,222.0
2024-07-07,216.0
2024-07-08,216.0
2024-07-09,216.0
2024-07-10,216.0
2024-07-11,219.0
2024-07-12,219.0
2024-07-13,245.0
2024-07-14,245.0
2024-07-15,242.0
2024-07-16,242.0
2024-07-17,242.0
2024-07-18,245.0
2024-07-19,247.0
2024-07-20,245.0
2024-07-21,214.0
2024-07-22,212.0
2024-07-23,212.0
2024-07-24,245.0
2024-07-25,245.0
2024-07-26,245.0
2024-07-27,245.0
2024-07-28,245.0
2024-07-29,245.0
2024-07-30,245.0
2024-07-31,245.0
2024-08-01,245.0
2024-08-02,245.0
2024-08-03,245.0
2024-08-04,245.0
2024-08-05,245.0
2024-08-06,245.0
2024-08-07,245.0
2024-08-08,245.0
2024-08-09,245.0
2024-08-10,245.0
2024-08-11,245.0
2024-08-12,395.0
2024-08-13,395.0
2024-08-14,245.0
2024-08-15,245.0
2024-08-16,245.0
2024-08-17,245.0
2024-08-18,245.0
2024-08-19,245.0
2024-08-20,245.0
2024-08-21,245.0
2024-08-22,245.0
2024-08-23,245.0
2024-08-24,245.0
2024-08-25,245.0
2024-08-26,245.0
2024-08-27,245.0
2024-08-28,245.0
2024-08-29,245.0
2024-08-30,245.0
2024-08-31,245.0
2024-09-01,245.0
2024-09-02,245.0
2024-09-03,245.0
2024-09-04,245.0
2024-09-05,245.0
2024-09-06,245.0
2024-09-07,245.0
2024-09-08,245.0
2024-09-09,245.0
2024-09-10,245.0
2024-09-11,245.0
2024-09-12,245.0
2024-09-13,245.0
2024-09-14,245.0
2024-09-15,245.0
2024-09-16,245.0
2024-09-17,245.0
2024-09-18,245.0
2024-09-19,245.0
2024-09-20,245.0
2024-09-21,245.0
2024-09-22,245.0
2024-09-23,245.0
2024-09-24,245.0
2024-09-25,245.0
2024-09-26,245.0
2024-09-27,245.0
2024-09-28,245.0
2024-09-29,245.0
2024-09-30,245.0
2024-10-01,245.0
2024-10-02,245.0
2024-10-03,240.0
2024-10-04,240.0
2024-10-05,240.0
2024-10-06,240.0
2024-10-07,240.0
2024-10-08,240.0
2024-10-09,240.0
2024-10-10,240.0
2024-10-11,240.0
2024-10-12,240.0
2024-10-13,240.0
2024-10-14,240.0
2024-10-15,240.0
2024-10-16,240.0
2024-10-17,240.0
2024-10-18,240.0
2024-10-19,240.0
2024-10-20,240.0
2024-10-21,240.0
2024-10-22,240.0
2024-10-23,240.0
2024-10-24,240.0
2024-10-25,240.0
2024-10-26,240.0
2024-10-27,240.0
2024-10-28,240.0
2024-10-29,240.0
2024-10-30,240.0
2024-10-31,240.0
2024-11-01,240.0
2024-11-02,240.0
