date,price
2024-05-18,198.0
2024-05-19,196.0
2024-05-20,196.0
2024-05-21,196.0
2024-05-22,196.0
2024-05-23,196.0
2024-05-24,196.0
2024-05-25,196.0
2024-05-26,196.0
2024-05-27,196.0
2024-05-28,209.0
2024-05-29,217.0
2024-05-30,217.0
2024-05-31,217.0
2024-06-01,217.0
2024-06-02,217.0
2024-06-03,217.0
2024-06-04,243.0
2024-06-05,243.0
2024-06-06,243.0
2024-06-07,243.0
2024-06-08,243.0
2024-06-09,243.0
2024-06-10,243.0
2024-06-11,243.0
2024-06-12,243.0
2024-06-13,243.0
2024-06-14,243.0
2024-06-15,243.0
2024-06-16,243.0
2024-06-17,243.0
2024-06-18,209.0
2024-06-19,209.0
2024-06-20,209.0
2024-06-21,209.0
2024-06-22,209.0
2024-06-23,209.0
2024-06-24,209.0
2024-06-25,209.0
2024-06-26,209.0
2024-06-27,209.0
2024-06-28,209.0
2024-06-29,209.0
2024-06-30,209.0
2024-07-01,209.0
2024-07-02,209.0
2024-07-03,209.0
2024-07-04,209.0
2024-07-05,234.0
2024-07-06,234.0
2024-07-07,234.0
2024-07-08,234.0
2024-07-09,234.0
2024-07-10,234.0
2024-07-11,234.0
2024-07-12,234.0
2024-07-13,234.0
2024-07-14,234.0
2024-07-15,234.0
2024-07-16,234.0
2024-07-17,234.0
2024-07-18,234.0
2024-07-19,271.0
2024-07-20,286.0
2024-07-21,281.0
2024-07-22,255.0
2024-07-23,253.0
2024-07-24,253.0
2024-07-25,258.0
2024-07-26,265.0
2024-07-27,265.0
2024-07-28,260.0
2024-07-29,253.0
2024-07-30,216.0
2024-07-31,221.0
2024-08-01,242.0
2024-08-02,242.0
2024-08-03,242.0
2024-08-04,242.0
2024-08-05,242.0
2024-08-06,242.0
2024-08-07,242.0
2024-08-08,234.0
2024-08-09,261.0
2024-08-10,263.0
2024-08-11,258.0
2024-08-12,253.0
2024-08-13,247.0
2024-08-14,248.0
2024-08-15,214.0
2024-08-16,260.0
2024-08-17,258.0
2024-08-18,211.0
2024-08-19,214.0
2024-08-20,209.0
2024-08-21,209.0
2024-08-22,209.0
2024-08-23,209.0
2024-08-24,209.0
2024-08-25,209.0
2024-08-26,209.0
2024-08-27,209.0
2024-08-28,209.0
2024-08-29,209.0
2024-08-30,209.0
2024-08-31,209.0
2024-09-01,209.0
2024-09-02,209.0
2024-09-03,209.0
2024-09-04,209.0
2024-09-05,214.0
2024-09-06,227.0
2024-09-07,227.0
2024-09-08,224.0
2024-09-09,227.0
2024-09-10,232.0
2024-09-11,230.0
2024-09-12,230.0
2024-09-13,235.0
2024-09-14,237.0
2024-09-15,229.0
2024-09-16,235.0
2024-09-17,227.0
2024-09-18,229.0
2024-09-19,227.0
2024-09-20,229.0
2024-09-21,227.0
2024-09-22,224.0
2024-09-23,224.0
2024-09-24,224.0
2024-09-25,224.0
2024-09-26,224.0
2024-09-27,229.0
2024-09-28,229.0
2024-09-29,227.0
2024-09-30,227.0
2024-10-01,229.0
2024-10-02,227.0
2024-10-03,225.0
2024-10-04,221.0
2024-10-05,219.0
2024-10-06,212.0
2024-10-07,212.0
2024-10-08,211.0
2024-10-09,224.0
2024-10-10,224.0
2024-10-11,229.0
2024-10-12,230.0
2024-10-13,225.0
2024-10-14,224.0
2024-10-15,224.0
2024-10-16,224.0
2024-10-17,224.0
2024-10-18,237.0
2024-10-19,242.0
2024-10-20,225.0
2024-10-21,224.0
2024-10-22,225.0
2024-10-23,224.0
2024-10-24,224.0
2024-10-25,229.0
2024-10-26,230.0
2024-10-27,229.0
2024-10-28,229.0
2024-10-29,229.0
2024-10-30,225.0
2024-10-31,225.0
2024-11-01,229.0
2024-11-02,232.0
