date,price
2024-05-18,149.0
2024-05-19,149.0
2024-05-20,149.0
2024-05-21,149.0
2024-05-22,149.0
2024-05-23,149.0
2024-05-24,149.0
2024-05-25,149.0
2024-05-26,149.0
2024-05-27,149.0
2024-05-28,149.0
2024-05-29,149.0
2024-05-30,149.0
2024-05-31,147.0
2024-06-01,147.0
2024-06-02,147.0
2024-06-03,147.0
2024-06-04,147.0
2024-06-05,147.0
2024-06-06,147.0
2024-06-07,147.0
2024-06-08,147.0
2024-06-09,147.0
2024-06-10,147.0
2024-06-11,147.0
2024-06-12,147.0
2024-06-13,147.0
2024-06-14,147.0
2024-06-15,147.0
2024-06-16,147.0
2024-06-17,147.0
2024-06-18,147.0
2024-06-19,147.0
2024-06-20,147.0
2024-06-21,147.0
2024-06-22,147.0
2024-06-23,147.0
2024-06-24,147.0
2024-06-25,147.0
2024-06-26,147.0
2024-06-27,147.0
2024-06-28,147.0
2024-06-29,147.0
2024-06-30,147.0
2024-07-01,147.0
2024-07-02,147.0
2024-07-03,147.0
2024-07-04,147.0
2024-07-05,147.0
2024-07-06,147.0
2024-07-07,147.0
2024-07-08,147.0
2024-07-09,147.0
2024-07-10,150.0
2024-07-11,150.0
2024-07-12,150.0
2024-07-13,147.0
2024-07-14,147.0
2024-07-15,147.0
2024-07-16,147.0
2024-07-17,147.0
2024-07-18,147.0
2024-07-19,147.0
2024-07-20,147.0
2024-07-21,147.0
2024-07-22,147.0
2024-07-23,147.0
2024-07-24,147.0
2024-07-25,147.0
2024-07-26,149.0
2024-07-27,149.0
2024-07-28,149.0
2024-07-29,149.0
2024-07-30,149.0
2024-07-31,152.0
2024-08-01,152.0
2024-08-02,152.0
2024-08-03,150.0
2024-08-04,149.0
2024-08-05,149.0
2024-08-06,149.0
2024-08-07,149.0
2024-08-08,150.0
2024-08-09,150.0
2024-08-10,150.0
2024-08-11,150.0
2024-08-12,150.0
2024-08-13,150.0
2024-08-14,150.0
2024-08-15,150.0
2024-08-16,150.0
2024-08-17,149.0
2024-08-18,149.0
2024-08-19,149.0
2024-08-20,149.0
2024-08-21,149.0
2024-08-22,149.0
2024-08-23,149.0
2024-08-24,149.0
2024-08-25,149.0
2024-08-26,149.0
2024-08-27,149.0
2024-08-28,149.0
2024-08-29,149.0
2024-08-30,149.0
2024-08-31,149.0
2024-09-01,149.0
2024-09-02,149.0
2024-09-03,149.0
2024-09-04,149.0
2024-09-05,149.0
2024-09-06,149.0
2024-09-07,149.0
2024-09-08,165.0
2024-09-09,181.0
2024-09-10,198.0
2024-09-11,198.0
2024-09-12,198.0
2024-09-13,198.0
2024-09-14,198.0
2024-09-15,198.0
2024-09-16,198.0
2024-09-17,198.0
2024-09-18,198.0
2024-09-19,198.0
2024-09-20,198.0
2024-09-21,198.0
2024-09-22,198.0
2024-09-23,198.0
2024-09-24,198.0
2024-09-25,198.0
2024-09-26,198.0
2024-09-27,198.0
2024-09-28,198.0
2024-09-29,198.0
2024-09-30,198.0
2024-10-01,198.0
2024-10-02,198.0
2024-10-03,198.0
2024-10-04,198.0
2024-10-05,198.0
2024-10-06,198.0
2024-10-07,198.0
2024-10-08,198.0
2024-10-09,198.0
2024-10-10,198.0
2024-10-11,198.0
2024-10-12,198.0
2024-10-13,198.0
2024-10-14,198.0
2024-10-15,198.0
2024-10-16,198.0
2024-10-17,198.0
2024-10-18,198.0
2024-10-19,198.0
2024-10-20,198.0
2024-10-21,198.0
2024-10-22,198.0
2024-10-23,198.0
2024-10-24,198.0
2024-10-25,198.0
2024-10-26,198.0
2024-10-27,198.0
2024-10-28,198.0
2024-10-29,198.0
2024-10-30,198.0
2024-10-31,198.0
2024-11-01,198.0
2024-11-02,198.0
