date,price
2024-05-18,309.0
2024-05-19,234.0
2024-05-20,234.0
2024-05-21,234.0
2024-05-22,234.0
2024-05-23,234.0
2024-05-24,309.0
2024-05-25,309.0
2024-05-26,234.0
2024-05-27,234.0
2024-05-28,234.0
2024-05-29,234.0
2024-05-30,234.0
2024-05-31,309.0
2024-06-01,309.0
2024-06-02,234.0
2024-06-03,234.0
2024-06-04,234.0
2024-06-05,234.0
2024-06-06,234.0
2024-06-07,212.0
2024-06-08,212.0
2024-06-09,186.0
2024-06-10,186.0
2024-06-11,186.0
2024-06-12,186.0
2024-06-13,186.0
2024-06-14,212.0
2024-06-15,212.0
2024-06-16,186.0
2024-06-17,186.0
2024-06-18,186.0
2024-06-19,186.0
2024-06-20,186.0
2024-06-21,212.0
2024-06-22,212.0
2024-06-23,186.0
2024-06-24,186.0
2024-06-25,186.0
2024-06-26,186.0
2024-06-27,186.0
2024-06-28,212.0
2024-06-29,212.0
2024-06-30,186.0
2024-07-01,186.0
2024-07-02,186.0
2024-07-03,186.0
2024-07-04,186.0
2024-07-05,212.0
2024-07-06,212.0
2024-07-07,186.0
2024-07-08,235.0
2024-07-09,235.0
2024-07-10,235.0
2024-07-11,235.0
2024-07-12,212.0
2024-07-13,212.0
2024-07-14,186.0
2024-07-15,235.0
2024-07-16,235.0
2024-07-17,186.0
2024-07-18,186.0
2024-07-19,212.0
2024-07-20,212.0
2024-07-21,186.0
2024-07-22,186.0
2024-07-23,186.0
2024-07-24,-1632.0
2024-07-25,-1632.0
2024-07-26,-1632.0
2024-07-27,-1632.0
2024-07-28,-1632.0
2024-07-29,186.0
2024-07-30,186.0
2024-07-31,186.0
2024-08-01,186.0
2024-08-02,212.0
2024-08-03,212.0
2024-08-04,186.0
2024-08-05,186.0
2024-08-06,186.0
2024-08-07,186.0
2024-08-08,186.0
2024-08-09,212.0
2024-08-10,212.0
2024-08-11,186.0
2024-08-12,186.0
2024-08-13,186.0
2024-08-14,186.0
2024-08-15,186.0
2024-08-16,212.0
2024-08-17,212.0
2024-08-18,186.0
2024-08-19,186.0
2024-08-20,186.0
2024-08-21,186.0
2024-08-22,186.0
2024-08-23,212.0
2024-08-24,212.0
2024-08-25,186.0
2024-08-26,186.0
2024-08-27,186.0
2024-08-28,186.0
2024-08-29,186.0
2024-08-30,212.0
2024-08-31,212.0
2024-09-01,186.0
2024-09-02,186.0
2024-09-03,186.0
2024-09-04,186.0
2024-09-05,186.0
2024-09-06,212.0
2024-09-07,212.0
2024-09-08,186.0
2024-09-09,186.0
2024-09-10,186.0
2024-09-11,186.0
2024-09-12,186.0
2024-09-13,212.0
2024-09-14,212.0
2024-09-15,186.0
2024-09-16,186.0
2024-09-17,186.0
2024-09-18,186.0
2024-09-19,186.0
2024-09-20,212.0
2024-09-21,212.0
2024-09-22,186.0
2024-09-23,186.0
2024-09-24,186.0
2024-09-25,186.0
2024-09-26,186.0
2024-09-27,212.0
2024-09-28,212.0
2024-09-29,186.0
2024-09-30,186.0
2024-10-01,186.0
2024-10-02,186.0
2024-10-03,186.0
2024-10-04,212.0
2024-10-05,212.0
2024-10-06,186.0
2024-10-07,186.0
2024-10-08,186.0
2024-10-09,186.0
2024-10-10,186.0
2024-10-11,212.0
2024-10-12,212.0
2024-10-13,186.0
2024-10-14,186.0
2024-10-15,186.0
2024-10-16,186.0
2024-10-17,186.0
2024-10-18,212.0
2024-10-19,212.0
2024-10-20,186.0
2024-10-21,186.0
2024-10-22,186.0
2024-10-23,186.0
2024-10-24,186.0
2024-10-25,212.0
2024-10-26,212.0
2024-10-27,186.0
2024-10-28,186.0
2024-10-29,186.0
2024-10-30,186.0
2024-10-31,186.0
2024-11-01,265.0
2024-11-02,265.0
2024-11-03,232.0
2024-11-04,232.0
2024-11-05,232.0
2024-11-06,232.0
2024-11-07,232.0
2024-11-08,265.0
2024-11-09,265.0
2024-11-10,232.0
2024-11-11,232.0
2024-11-12,232.0
2024-11-13,232.0
2024-11-14,345.0
2024-11-15,392.0
2024-11-16,392.0
2024-11-17,345.0
2024-11-18,232.0
2024-11-19,232.0
2024-11-20,232.0
2024-11-21,232.0
2024-11-22,265.0
2024-11-23,265.0
2024-11-24,232.0
2024-11-25,232.0
2024-11-26,232.0
2024-11-27,232.0
2024-11-28,232.0
2024-11-29,265.0
2024-11-30,265.0
2024-12-01,232.0
2024-12-02,232.0
2024-12-03,232.0
2024-12-04,232.0
2024-12-05,232.0
2024-12-06,265.0
2024-12-07,265.0
2024-12-08,232.0
2024-12-09,232.0
2024-12-10,232.0
2024-12-11,232.0
2024-12-12,234.0
2024-12-13,307.0
2024-12-14,307.0
2024-12-15,234.0
2024-12-16,234.0
2024-12-17,234.0
2024-12-18,234.0
2024-12-19,234.0
2024-12-20,307.0
2024-12-21,265.0
2024-12-22,232.0
2024-12-23,232.0
2024-12-24,232.0
2024-12-25,232.0
2024-12-26,232.0
2024-12-27,265.0
2024-12-28,309.0
2024-12-29,235.0
2024-12-30,235.0
2024-12-31,317.0
2025-01-01,317.0
2025-01-02,235.0
2025-01-03,265.0
2025-01-04,265.0
2025-01-05,232.0
2025-01-06,232.0
2025-01-07,232.0
2025-01-08,232.0
2025-01-09,232.0
2025-01-10,381.0
2025-01-11,381.0
2025-01-12,232.0
2025-01-13,232.0
2025-01-14,232.0
2025-01-15,232.0
2025-01-16,232.0
2025-01-17,265.0
2025-01-18,265.0
2025-01-19,232.0
2025-01-20,232.0
2025-01-21,232.0
2025-01-22,232.0
2025-01-23,232.0
2025-01-24,265.0
2025-01-25,265.0
2025-01-26,232.0
2025-01-27,232.0
2025-01-28,232.0
2025-01-29,232.0
2025-01-30,232.0
2025-01-31,265.0
2025-02-01,265.0
2025-02-02,232.0
2025-02-03,232.0
2025-02-04,232.0
2025-02-05,232.0
2025-02-06,232.0
2025-02-07,265.0
2025-02-08,265.0
2025-02-09,-1632.0
2025-02-10,-1632.0
2025-02-11,-1632.0
2025-02-12,-1632.0
2025-02-13,-1632.0
2025-02-14,-1632.0
2025-02-15,-1632.0
2025-02-16,-1632.0
2025-02-17,-1632.0
2025-02-18,-1632.0
2025-02-19,-1632.0
2025-02-20,-1632.0
2025-02-21,-1632.0
2025-02-22,-1632.0
2025-02-23,-1632.0
2025-02-24,-1632.0
2025-02-25,-1632.0
2025-02-26,-1632.0
2025-02-27,-1632.0
2025-02-28,-1632.0
2025-03-01,-1632.0
2025-03-02,-1632.0
2025-03-03,-1632.0
2025-03-04,-1632.0
2025-03-05,-1632.0
2025-03-06,-1632.0
2025-03-07,-1632.0
2025-03-08,-1632.0
2025-03-09,-1632.0
2025-03-10,-1632.0
2025-03-11,-1632.0
2025-03-12,-1632.0
2025-03-13,-1632.0
2025-03-14,-1632.0
2025-03-15,-1632.0
2025-03-16,-1632.0
2025-03-17,-1632.0
2025-03-18,-1632.0
2025-03-19,-1632.0
2025-03-20,-1632.0
2025-03-21,-1632.0
2025-03-22,-1632.0
2025-03-23,-1632.0
2025-03-24,-1632.0
2025-03-25,-1632.0
2025-03-26,-1632.0
2025-03-27,-1632.0
2025-03-28,-1632.0
2025-03-29,-1632.0
2025-03-30,-1632.0
2025-03-31,-1632.0
2025-04-01,-1632.0
2025-04-02,-1632.0
2025-04-03,-1632.0
2025-04-04,-1632.0
2025-04-05,-1632.0
2025-04-06,-1632.0
2025-04-07,-1632.0
2025-04-08,-1632.0
2025-04-09,-1632.0
2025-04-10,-1632.0
2025-04-11,-1632.0
2025-04-12,-1632.0
2025-04-13,-1632.0
2025-04-14,-1632.0
2025-04-15,-1632.0
2025-04-16,-1632.0
2025-04-17,-1632.0
2025-04-18,-1632.0
2025-04-19,-1632.0
2025-04-20,-1632.0
2025-04-21,-1632.0
2025-04-22,-1632.0
2025-04-23,-1632.0
2025-04-24,-1632.0
2025-04-25,-1632.0
2025-04-26,-1632.0
2025-04-27,-1632.0
2025-04-28,-1632.0
2025-04-29,-1632.0
2025-04-30,-1632.0
2025-05-01,-1632.0
2025-05-02,-1632.0
2025-05-03,-1632.0
2025-05-04,-1632.0
2025-05-05,-1632.0
2025-05-06,-1632.0
2025-05-07,-1632.0
2025-05-08,-1632.0
2025-05-09,-1632.0
2025-05-10,-1632.0
2025-05-11,-1632.0
2025-05-12,-1632.0
2025-05-13,-1632.0
2025-05-14,-1632.0
2025-05-15,-1632.0
2025-05-16,-1632.0
2025-05-17,-1632.0
