date,price
2024-05-18,265.0
2024-05-19,265.0
2024-05-20,230.0
2024-05-21,230.0
2024-05-22,230.0
2024-05-23,230.0
2024-05-24,255.0
2024-05-25,255.0
2024-05-26,255.0
2024-05-27,255.0
2024-05-28,255.0
2024-05-29,216.0
2024-05-30,196.0
2024-05-31,196.0
2024-06-01,196.0
2024-06-02,196.0
2024-06-03,196.0
2024-06-04,196.0
2024-06-05,196.0
2024-06-06,196.0
2024-06-07,196.0
2024-06-08,196.0
2024-06-09,196.0
2024-06-10,196.0
2024-06-11,196.0
2024-06-12,196.0
2024-06-13,196.0
2024-06-14,196.0
2024-06-15,196.0
2024-06-16,196.0
2024-06-17,196.0
2024-06-18,198.0
2024-06-19,198.0
2024-06-20,198.0
2024-06-21,198.0
2024-06-22,198.0
2024-06-23,198.0
2024-06-24,198.0
2024-06-25,198.0
2024-06-26,198.0
2024-06-27,217.0
2024-06-28,217.0
2024-06-29,217.0
2024-06-30,214.0
2024-07-01,212.0
2024-07-02,212.0
2024-07-03,212.0
2024-07-04,212.0
2024-07-05,212.0
2024-07-06,212.0
2024-07-07,212.0
2024-07-08,212.0
2024-07-09,212.0
2024-07-10,212.0
2024-07-11,212.0
2024-07-12,212.0
2024-07-13,212.0
2024-07-14,212.0
2024-07-15,212.0
2024-07-16,212.0
2024-07-17,212.0
2024-07-18,212.0
2024-07-19,212.0
2024-07-20,214.0
2024-07-21,216.0
2024-07-22,216.0
2024-07-23,216.0
2024-07-24,274.0
2024-07-25,281.0
2024-07-26,281.0
2024-07-27,281.0
2024-07-28,274.0
2024-07-29,217.0
2024-07-30,211.0
2024-07-31,211.0
2024-08-01,211.0
2024-08-02,239.0
2024-08-03,239.0
2024-08-04,239.0
2024-08-05,239.0
2024-08-06,239.0
2024-08-07,239.0
2024-08-08,239.0
2024-08-09,239.0
2024-08-10,239.0
2024-08-11,239.0
2024-08-12,239.0
2024-08-13,239.0
2024-08-14,239.0
2024-08-15,239.0
2024-08-16,239.0
2024-08-17,239.0
2024-08-18,217.0
2024-08-19,217.0
2024-08-20,217.0
2024-08-21,217.0
2024-08-22,217.0
2024-08-23,217.0
2024-08-24,217.0
2024-08-25,217.0
2024-08-26,217.0
2024-08-27,217.0
2024-08-28,225.0
2024-08-29,234.0
2024-08-30,253.0
2024-08-31,245.0
2024-09-01,237.0
2024-09-02,217.0
2024-09-03,217.0
2024-09-04,217.0
2024-09-05,217.0
2024-09-06,217.0
2024-09-07,217.0
2024-09-08,217.0
2024-09-09,230.0
2024-09-10,243.0
2024-09-11,256.0
2024-09-12,256.0
2024-09-13,256.0
2024-09-14,268.0
2024-09-15,261.0
2024-09-16,255.0
2024-09-17,255.0
2024-09-18,255.0
2024-09-19,261.0
2024-09-20,268.0
2024-09-21,268.0
2024-09-22,261.0
2024-09-23,255.0
2024-09-24,255.0
2024-09-25,255.0
2024-09-26,261.0
2024-09-27,268.0
2024-09-28,274.0
2024-09-29,274.0
2024-09-30,217.0
2024-10-01,217.0
2024-10-02,217.0
2024-10-03,217.0
2024-10-04,217.0
2024-10-05,217.0
2024-10-06,217.0
2024-10-07,217.0
2024-10-08,217.0
2024-10-09,217.0
2024-10-10,217.0
2024-10-11,217.0
2024-10-12,217.0
2024-10-13,217.0
2024-10-14,217.0
2024-10-15,217.0
2024-10-16,217.0
2024-10-17,217.0
2024-10-18,217.0
2024-10-19,217.0
2024-10-20,274.0
2024-10-21,281.0
2024-10-22,281.0
2024-10-23,281.0
2024-10-24,281.0
2024-10-25,281.0
2024-10-26,281.0
2024-10-27,274.0
2024-10-28,217.0
2024-10-29,217.0
2024-10-30,217.0
2024-10-31,274.0
2024-11-01,276.0
2024-11-02,276.0
