date,price
2024-05-18,118.0
2024-05-19,118.0
2024-05-20,118.0
2024-05-21,118.0
2024-05-22,118.0
2024-05-23,118.0
2024-05-24,118.0
2024-05-25,119.0
2024-05-26,119.0
2024-05-27,119.0
2024-05-28,119.0
2024-05-29,119.0
2024-05-30,119.0
2024-05-31,119.0
2024-06-01,119.0
2024-06-02,119.0
2024-06-03,119.0
2024-06-04,119.0
2024-06-05,119.0
2024-06-06,118.0
2024-06-07,118.0
2024-06-08,118.0
2024-06-09,118.0
2024-06-10,118.0
2024-06-11,119.0
2024-06-12,119.0
2024-06-13,119.0
2024-06-14,119.0
2024-06-15,119.0
2024-06-16,119.0
2024-06-17,119.0
2024-06-18,119.0
2024-06-19,119.0
2024-06-20,119.0
2024-06-21,119.0
2024-06-22,119.0
2024-06-23,119.0
2024-06-24,119.0
2024-06-25,119.0
2024-06-26,119.0
2024-06-27,119.0
2024-06-28,119.0
2024-06-29,127.0
2024-06-30,134.0
2024-07-01,141.0
2024-07-02,141.0
2024-07-03,141.0
2024-07-04,141.0
2024-07-05,141.0
2024-07-06,141.0
2024-07-07,141.0
2024-07-08,141.0
2024-07-09,141.0
2024-07-10,141.0
2024-07-11,141.0
2024-07-12,141.0
2024-07-13,141.0
2024-07-14,141.0
2024-07-15,141.0
2024-07-16,141.0
2024-07-17,141.0
2024-07-18,141.0
2024-07-19,150.0
2024-07-20,160.0
2024-07-21,170.0
2024-07-22,170.0
2024-07-23,170.0
2024-07-24,170.0
2024-07-25,170.0
2024-07-26,170.0
2024-07-27,170.0
2024-07-28,170.0
2024-07-29,170.0
2024-07-30,163.0
2024-07-31,157.0
2024-08-01,150.0
2024-08-02,150.0
2024-08-03,150.0
2024-08-04,150.0
2024-08-05,150.0
2024-08-06,150.0
2024-08-07,150.0
2024-08-08,150.0
2024-08-09,150.0
2024-08-10,150.0
2024-08-11,150.0
2024-08-12,150.0
2024-08-13,150.0
2024-08-14,150.0
2024-08-15,150.0
2024-08-16,150.0
2024-08-17,150.0
2024-08-18,150.0
2024-08-19,150.0
2024-08-20,150.0
2024-08-21,150.0
2024-08-22,150.0
2024-08-23,150.0
2024-08-24,150.0
2024-08-25,150.0
2024-08-26,150.0
2024-08-27,150.0
2024-08-28,150.0
2024-08-29,150.0
2024-08-30,150.0
2024-08-31,150.0
2024-09-01,150.0
2024-09-02,150.0
2024-09-03,150.0
2024-09-04,150.0
2024-09-05,150.0
2024-09-06,150.0
2024-09-07,150.0
2024-09-08,150.0
2024-09-09,150.0
2024-09-10,150.0
2024-09-11,150.0
2024-09-12,150.0
2024-09-13,150.0
2024-09-14,150.0
2024-09-15,150.0
2024-09-16,150.0
2024-09-17,150.0
2024-09-18,150.0
2024-09-19,150.0
2024-09-20,150.0
2024-09-21,150.0
2024-09-22,150.0
2024-09-23,150.0
2024-09-24,150.0
2024-09-25,150.0
2024-09-26,150.0
2024-09-27,150.0
2024-09-28,150.0
2024-09-29,150.0
2024-09-30,150.0
2024-10-01,150.0
2024-10-02,150.0
2024-10-03,150.0
2024-10-04,150.0
2024-10-05,150.0
2024-10-06,150.0
2024-10-07,150.0
2024-10-08,150.0
2024-10-09,150.0
2024-10-10,150.0
2024-10-11,150.0
2024-10-12,150.0
2024-10-13,150.0
2024-10-14,150.0
2024-10-15,150.0
2024-10-16,150.0
2024-10-17,150.0
2024-10-18,150.0
2024-10-19,150.0
2024-10-20,150.0
2024-10-21,150.0
2024-10-22,150.0
2024-10-23,150.0
2024-10-24,150.0
2024-10-25,150.0
2024-10-26,150.0
2024-10-27,150.0
2024-10-28,150.0
2024-10-29,150.0
2024-10-30,150.0
2024-10-31,150.0
2024-11-01,163.0
2024-11-02,163.0
