date,price
2024-05-18,219.0
2024-05-19,219.0
2024-05-20,219.0
2024-05-21,219.0
2024-05-22,219.0
2024-05-23,219.0
2024-05-24,219.0
2024-05-25,219.0
2024-05-26,219.0
2024-05-27,221.0
2024-05-28,225.0
2024-05-29,222.0
2024-05-30,245.0
2024-05-31,274.0
2024-06-01,271.0
2024-06-02,242.0
2024-06-03,219.0
2024-06-04,219.0
2024-06-05,230.0
2024-06-06,230.0
2024-06-07,225.0
2024-06-08,225.0
2024-06-09,221.0
2024-06-10,222.0
2024-06-11,225.0
2024-06-12,239.0
2024-06-13,243.0
2024-06-14,250.0
2024-06-15,243.0
2024-06-16,245.0
2024-06-17,240.0
2024-06-18,242.0
2024-06-19,239.0
2024-06-20,242.0
2024-06-21,243.0
2024-06-22,248.0
2024-06-23,250.0
2024-06-24,252.0
2024-06-25,263.0
2024-06-26,278.0
2024-06-27,294.0
2024-06-28,292.0
2024-06-29,286.0
2024-06-30,283.0
2024-07-01,286.0
2024-07-02,297.0
2024-07-03,297.0
2024-07-04,309.0
2024-07-05,796.0
2024-07-06,835.0
2024-07-07,853.0
2024-07-08,858.0
2024-07-09,858.0
2024-07-10,858.0
2024-07-11,868.0
2024-07-12,892.0
2024-07-13,939.0
2024-07-14,815.0
2024-07-15,801.0
2024-07-16,805.0
2024-07-17,845.0
2024-07-18,835.0
2024-07-19,892.0
2024-07-20,882.0
2024-07-21,815.0
2024-07-22,796.0
2024-07-23,815.0
2024-07-24,840.0
2024-07-25,935.0
2024-07-26,944.0
2024-07-27,939.0
2024-07-28,791.0
2024-07-29,810.0
2024-07-30,907.0
2024-07-31,915.0
2024-08-01,872.0
2024-08-02,954.0
2024-08-03,815.0
2024-08-04,748.0
2024-08-05,748.0
2024-08-06,743.0
2024-08-07,743.0
2024-08-08,725.0
2024-08-09,805.0
2024-08-10,825.0
2024-08-11,825.0
2024-08-12,711.0
2024-08-13,691.0
2024-08-14,696.0
2024-08-15,691.0
2024-08-16,768.0
2024-08-17,738.0
2024-08-18,773.0
2024-08-19,887.0
2024-08-20,872.0
2024-08-21,910.0
2024-08-22,902.0
2024-08-23,892.0
2024-08-24,853.0
2024-08-25,611.0
2024-08-26,606.0
2024-08-27,587.0
2024-08-28,591.0
2024-08-29,624.0
2024-08-30,644.0
2024-08-31,639.0
2024-09-01,658.0
2024-09-02,696.0
2024-09-03,696.0
2024-09-04,696.0
2024-09-05,696.0
2024-09-06,696.0
2024-09-07,624.0
2024-09-08,577.0
2024-09-09,557.0
2024-09-10,549.0
2024-09-11,539.0
2024-09-12,577.0
2024-09-13,611.0
2024-09-14,691.0
2024-09-15,663.0
2024-09-16,663.0
2024-09-17,668.0
2024-09-18,668.0
2024-09-19,673.0
2024-09-20,673.0
2024-09-21,725.0
2024-09-22,673.0
2024-09-23,644.0
2024-09-24,619.0
2024-09-25,654.0
2024-09-26,676.0
2024-09-27,725.0
2024-09-28,753.0
2024-09-29,676.0
2024-09-30,639.0
2024-10-01,644.0
2024-10-02,673.0
2024-10-03,676.0
2024-10-04,725.0
2024-10-05,738.0
2024-10-06,663.0
2024-10-07,611.0
2024-10-08,644.0
2024-10-09,663.0
2024-10-10,644.0
2024-10-11,400.0
2024-10-12,387.0
2024-10-13,371.0
2024-10-14,369.0
2024-10-15,381.0
2024-10-16,390.0
2024-10-17,404.0
2024-10-18,404.0
2024-10-19,407.0
2024-10-20,405.0
2024-10-21,407.0
2024-10-22,405.0
2024-10-23,423.0
2024-10-24,438.0
2024-10-25,449.0
2024-10-26,420.0
2024-10-27,390.0
2024-10-28,364.0
2024-10-29,377.0
2024-10-30,407.0
2024-10-31,446.0
2024-11-01,474.0
2024-11-02,490.0
2024-11-03,526.0
2024-11-04,570.0
2024-11-05,680.0
2024-11-06,763.0
2024-11-07,838.0
2024-11-08,840.0
2024-11-09,840.0
2024-11-10,869.0
2024-11-11,869.0
2024-11-12,930.0
2024-11-13,-1632.0
2024-11-14,-1632.0
2024-11-15,-1632.0
2024-11-16,-1632.0
2024-11-17,-1632.0
2024-11-18,-1632.0
2024-11-19,-1632.0
2024-11-20,-1632.0
2024-11-21,-1632.0
2024-11-22,-1632.0
2024-11-23,-1632.0
2024-11-24,-1632.0
2024-11-25,-1632.0
2024-11-26,-1632.0
2024-11-27,-1632.0
2024-11-28,-1632.0
2024-11-29,-1632.0
2024-11-30,-1632.0
2024-12-01,-1632.0
2024-12-02,-1632.0
2024-12-03,-1632.0
2024-12-04,-1632.0
2024-12-05,-1632.0
2024-12-06,-1632.0
2024-12-07,-1632.0
2024-12-08,-1632.0
2024-12-09,-1632.0
2024-12-10,-1632.0
2024-12-11,-1632.0
2024-12-12,-1632.0
2024-12-13,-1632.0
2024-12-14,-1632.0
2024-12-15,-1632.0
2024-12-16,-1632.0
2024-12-17,-1632.0
2024-12-18,-1632.0
2024-12-19,-1632.0
2024-12-20,-1632.0
2024-12-21,-1632.0
2024-12-22,-1632.0
2024-12-23,-1632.0
2024-12-24,-1632.0
2024-12-25,-1632.0
2024-12-26,-1632.0
2024-12-27,-1632.0
2024-12-28,-1632.0
2024-12-29,-1632.0
2024-12-30,-1632.0
2024-12-31,-1632.0
2025-01-01,-1632.0
