date,price
2024-05-18,270.0
2024-05-19,281.0
2024-05-20,271.0
2024-05-21,271.0
2024-05-22,271.0
2024-05-23,271.0
2024-05-24,271.0
2024-05-25,271.0
2024-05-26,271.0
2024-05-27,271.0
2024-05-28,271.0
2024-05-29,271.0
2024-05-30,271.0
2024-05-31,281.0
2024-06-01,291.0
2024-06-02,284.0
2024-06-03,276.0
2024-06-04,274.0
2024-06-05,274.0
2024-06-06,281.0
2024-06-07,291.0
2024-06-08,291.0
2024-06-09,281.0
2024-06-10,271.0
2024-06-11,271.0
2024-06-12,271.0
2024-06-13,271.0
2024-06-14,271.0
2024-06-15,271.0
2024-06-16,271.0
2024-06-17,271.0
2024-06-18,271.0
2024-06-19,271.0
2024-06-20,271.0
2024-06-21,271.0
2024-06-22,271.0
2024-06-23,271.0
2024-06-24,271.0
2024-06-25,271.0
2024-06-26,288.0
2024-06-27,288.0
2024-06-28,317.0
2024-06-29,281.0
2024-06-30,281.0
2024-07-01,312.0
2024-07-02,353.0
2024-07-03,353.0
2024-07-04,353.0
2024-07-05,353.0
2024-07-06,353.0
2024-07-07,356.0
2024-07-08,361.0
2024-07-09,361.0
2024-07-10,361.0
2024-07-11,361.0
2024-07-12,361.0
2024-07-13,361.0
2024-07-14,361.0
2024-07-15,361.0
2024-07-16,361.0
2024-07-17,310.0
2024-07-18,268.0
2024-07-19,271.0
2024-07-20,273.0
2024-07-21,273.0
2024-07-22,271.0
2024-07-23,271.0
2024-07-24,278.0
2024-07-25,278.0
2024-07-26,271.0
2024-07-27,271.0
2024-07-28,274.0
2024-07-29,278.0
2024-07-30,276.0
2024-07-31,271.0
2024-08-01,271.0
2024-08-02,271.0
2024-08-03,271.0
2024-08-04,271.0
2024-08-05,271.0
2024-08-06,271.0
2024-08-07,271.0
2024-08-08,271.0
2024-08-09,271.0
2024-08-10,271.0
2024-08-11,271.0
2024-08-12,271.0
2024-08-13,310.0
2024-08-14,351.0
2024-08-15,351.0
2024-08-16,351.0
2024-08-17,351.0
2024-08-18,351.0
2024-08-19,351.0
2024-08-20,351.0
2024-08-21,351.0
2024-08-22,351.0
2024-08-23,351.0
2024-08-24,310.0
2024-08-25,271.0
2024-08-26,271.0
2024-08-27,271.0
2024-08-28,271.0
2024-08-29,271.0
2024-08-30,271.0
2024-08-31,271.0
2024-09-01,317.0
2024-09-02,363.0
2024-09-03,363.0
2024-09-04,363.0
2024-09-05,363.0
2024-09-06,363.0
2024-09-07,363.0
2024-09-08,363.0
2024-09-09,363.0
2024-09-10,363.0
2024-09-11,363.0
2024-09-12,363.0
2024-09-13,363.0
2024-09-14,363.0
2024-09-15,363.0
2024-09-16,363.0
2024-09-17,363.0
2024-09-18,363.0
2024-09-19,363.0
2024-09-20,330.0
2024-09-21,297.0
2024-09-22,294.0
2024-09-23,291.0
2024-09-24,291.0
2024-09-25,292.0
2024-09-26,294.0
2024-09-27,297.0
2024-09-28,297.0
2024-09-29,294.0
2024-09-30,291.0
2024-10-01,291.0
2024-10-02,291.0
2024-10-03,294.0
2024-10-04,297.0
2024-10-05,297.0
2024-10-06,294.0
2024-10-07,291.0
2024-10-08,289.0
2024-10-09,289.0
2024-10-10,294.0
2024-10-11,297.0
2024-10-12,297.0
2024-10-13,322.0
2024-10-14,346.0
2024-10-15,346.0
2024-10-16,346.0
2024-10-17,346.0
2024-10-18,346.0
2024-10-19,346.0
2024-10-20,346.0
2024-10-21,346.0
2024-10-22,346.0
2024-10-23,346.0
2024-10-24,346.0
2024-10-25,346.0
2024-10-26,346.0
2024-10-27,346.0
2024-10-28,353.0
2024-10-29,358.0
2024-10-30,358.0
2024-10-31,327.0
2024-11-01,297.0
2024-11-02,297.0
