date,price
2024-05-18,363.0
2024-05-19,361.0
2024-05-20,358.0
2024-05-21,358.0
2024-05-22,358.0
2024-05-23,358.0
2024-05-24,363.0
2024-05-25,363.0
2024-05-26,361.0
2024-05-27,358.0
2024-05-28,358.0
2024-05-29,358.0
2024-05-30,358.0
2024-05-31,363.0
2024-06-01,363.0
2024-06-02,361.0
2024-06-03,358.0
2024-06-04,358.0
2024-06-05,358.0
2024-06-06,358.0
2024-06-07,363.0
2024-06-08,363.0
2024-06-09,361.0
2024-06-10,358.0
2024-06-11,358.0
2024-06-12,358.0
2024-06-13,358.0
2024-06-14,363.0
2024-06-15,363.0
2024-06-16,361.0
2024-06-17,358.0
2024-06-18,358.0
2024-06-19,358.0
2024-06-20,358.0
2024-06-21,363.0
2024-06-22,363.0
2024-06-23,361.0
2024-06-24,358.0
2024-06-25,358.0
2024-06-26,358.0
2024-06-27,358.0
2024-06-28,363.0
2024-06-29,363.0
2024-06-30,361.0
2024-07-01,358.0
2024-07-02,358.0
2024-07-03,358.0
2024-07-04,358.0
2024-07-05,363.0
2024-07-06,363.0
2024-07-07,361.0
2024-07-08,358.0
2024-07-09,358.0
2024-07-10,358.0
2024-07-11,358.0
2024-07-12,363.0
2024-07-13,363.0
2024-07-14,361.0
2024-07-15,358.0
2024-07-16,358.0
2024-07-17,358.0
2024-07-18,358.0
2024-07-19,363.0
2024-07-20,363.0
2024-07-21,361.0
2024-07-22,358.0
2024-07-23,358.0
2024-07-24,358.0
2024-07-25,358.0
2024-07-26,363.0
2024-07-27,363.0
2024-07-28,361.0
2024-07-29,358.0
2024-07-30,358.0
2024-07-31,358.0
2024-08-01,358.0
2024-08-02,363.0
2024-08-03,363.0
2024-08-04,361.0
2024-08-05,358.0
2024-08-06,358.0
2024-08-07,358.0
2024-08-08,358.0
2024-08-09,363.0
2024-08-10,363.0
2024-08-11,361.0
2024-08-12,358.0
2024-08-13,358.0
2024-08-14,358.0
2024-08-15,358.0
2024-08-16,363.0
2024-08-17,363.0
2024-08-18,361.0
2024-08-19,358.0
2024-08-20,358.0
2024-08-21,358.0
2024-08-22,358.0
2024-08-23,363.0
2024-08-24,363.0
2024-08-25,361.0
2024-08-26,358.0
2024-08-27,358.0
2024-08-28,358.0
2024-08-29,358.0
2024-08-30,363.0
2024-08-31,363.0
2024-09-01,361.0
2024-09-02,358.0
2024-09-03,358.0
2024-09-04,358.0
2024-09-05,358.0
2024-09-06,363.0
2024-09-07,363.0
2024-09-08,361.0
2024-09-09,358.0
2024-09-10,358.0
2024-09-11,358.0
2024-09-12,358.0
2024-09-13,363.0
2024-09-14,363.0
2024-09-15,361.0
2024-09-16,358.0
2024-09-17,358.0
2024-09-18,358.0
2024-09-19,358.0
2024-09-20,363.0
2024-09-21,363.0
2024-09-22,361.0
2024-09-23,358.0
2024-09-24,358.0
2024-09-25,358.0
2024-09-26,358.0
2024-09-27,363.0
2024-09-28,363.0
2024-09-29,361.0
2024-09-30,358.0
2024-10-01,358.0
2024-10-02,358.0
2024-10-03,358.0
2024-10-04,363.0
2024-10-05,363.0
2024-10-06,361.0
2024-10-07,358.0
2024-10-08,358.0
2024-10-09,358.0
2024-10-10,358.0
2024-10-11,363.0
2024-10-12,363.0
2024-10-13,361.0
2024-10-14,358.0
2024-10-15,358.0
2024-10-16,358.0
2024-10-17,358.0
2024-10-18,363.0
2024-10-19,363.0
2024-10-20,361.0
2024-10-21,358.0
2024-10-22,358.0
2024-10-23,358.0
2024-10-24,358.0
2024-10-25,363.0
2024-10-26,363.0
2024-10-27,361.0
2024-10-28,358.0
2024-10-29,358.0
2024-10-30,358.0
2024-10-31,358.0
2024-11-01,363.0
2024-11-02,
2024-11-03,
2024-11-04,
2024-11-05,
2024-11-06,
2024-11-07,
2024-11-08,
2024-11-09,
2024-11-10,
2024-11-11,
2024-11-12,
2024-11-13,
2024-11-14,
2024-11-15,
2024-11-16,
2024-11-17,
2024-11-18,
2024-11-19,
2024-11-20,
2024-11-21,
2024-11-22,
2024-11-23,
2024-11-24,
2024-11-25,
2024-11-26,
2024-11-27,
2024-11-28,
2024-11-29,
2024-11-30,
2024-12-01,
2024-12-02,
2024-12-03,
2024-12-04,
2024-12-05,
2024-12-06,
2024-12-07,
2024-12-08,
2024-12-09,
2024-12-10,
2024-12-11,
2024-12-12,
2024-12-13,
2024-12-14,
2024-12-15,
2024-12-16,
2024-12-17,
2024-12-18,
2024-12-19,
2024-12-20,
2024-12-21,
2024-12-22,
2024-12-23,
2024-12-24,
2024-12-25,
2024-12-26,
2024-12-27,
2024-12-28,
2024-12-29,
2024-12-30,
2024-12-31,
2025-01-01,
2025-01-02,
2025-01-03,
2025-01-04,
2025-01-05,
2025-01-06,
2025-01-07,
2025-01-08,
2025-01-09,
2025-01-10,
2025-01-11,
2025-01-12,
2025-01-13,
2025-01-14,
2025-01-15,
2025-01-16,
2025-01-17,
2025-01-18,
2025-01-19,
2025-01-20,
2025-01-21,
2025-01-22,
2025-01-23,
2025-01-24,
2025-01-25,
2025-01-26,
2025-01-27,
2025-01-28,
2025-01-29,
2025-01-30,
2025-01-31,
2025-02-01,
2025-02-02,
2025-02-03,
2025-02-04,
2025-02-05,
2025-02-06,
2025-02-07,
2025-02-08,
2025-02-09,
2025-02-10,
2025-02-11,
2025-02-12,
2025-02-13,
2025-02-14,
2025-02-15,
2025-02-16,
2025-02-17,
2025-02-18,
2025-02-19,
2025-02-20,
2025-02-21,
2025-02-22,
2025-02-23,
2025-02-24,
2025-02-25,
2025-02-26,
2025-02-27,
2025-02-28,
2025-03-01,
2025-03-02,
2025-03-03,
2025-03-04,
2025-03-05,
2025-03-06,
2025-03-07,
2025-03-08,
2025-03-09,
2025-03-10,
2025-03-11,
2025-03-12,
2025-03-13,
2025-03-14,
2025-03-15,
2025-03-16,
2025-03-17,
2025-03-18,
2025-03-19,
2025-03-20,
2025-03-21,
2025-03-22,
2025-03-23,
2025-03-24,
2025-03-25,
2025-03-26,
2025-03-27,
2025-03-28,
2025-03-29,
2025-03-30,
2025-03-31,
2025-04-01,
2025-04-02,
2025-04-03,
2025-04-04,
2025-04-05,
2025-04-06,
2025-04-07,
2025-04-08,
2025-04-09,
2025-04-10,
2025-04-11,
2025-04-12,
2025-04-13,
2025-04-14,
2025-04-15,
2025-04-16,
2025-04-17,
2025-04-18,
2025-04-19,
2025-04-20,
2025-04-21,
2025-04-22,
2025-04-23,
2025-04-24,
2025-04-25,
2025-04-26,
2025-04-27,
2025-04-28,
2025-04-29,
2025-04-30,
2025-05-01,
2025-05-02,
2025-05-03,
2025-05-04,
2025-05-05,
2025-05-06,
2025-05-07,
2025-05-08,
2025-05-09,
2025-05-10,
2025-05-11,
2025-05-12,
2025-05-13,
2025-05-14,
2025-05-15,
2025-05-16,
2025-05-17,
