date,price
2024-05-18,173.0
2024-05-19,176.0
2024-05-20,176.0
2024-05-21,190.0
2024-05-22,188.0
2024-05-23,222.0
2024-05-24,170.0
2024-05-25,176.0
2024-05-26,172.0
2024-05-27,157.0
2024-05-28,157.0
2024-05-29,157.0
2024-05-30,157.0
2024-05-31,172.0
2024-06-01,176.0
2024-06-02,176.0
2024-06-03,178.0
2024-06-04,172.0
2024-06-05,170.0
2024-06-06,170.0
2024-06-07,185.0
2024-06-08,163.0
2024-06-09,185.0
2024-06-10,185.0
2024-06-11,185.0
2024-06-12,185.0
2024-06-13,222.0
2024-06-14,225.0
2024-06-15,225.0
2024-06-16,222.0
2024-06-17,222.0
2024-06-18,222.0
2024-06-19,222.0
2024-06-20,222.0
2024-06-21,222.0
2024-06-22,222.0
2024-06-23,185.0
2024-06-24,185.0
2024-06-25,188.0
2024-06-26,188.0
2024-06-27,185.0
2024-06-28,188.0
2024-06-29,-1632.0
2024-06-30,185.0
2024-07-01,227.0
2024-07-02,227.0
2024-07-03,227.0
2024-07-04,227.0
2024-07-05,227.0
2024-07-06,227.0
2024-07-07,227.0
2024-07-08,227.0
2024-07-09,227.0
2024-07-10,227.0
2024-07-11,227.0
2024-07-12,227.0
2024-07-13,185.0
2024-07-14,185.0
2024-07-15,176.0
2024-07-16,165.0
2024-07-17,-1632.0
2024-07-18,-1632.0
2024-07-19,185.0
2024-07-20,185.0
2024-07-21,-1632.0
2024-07-22,-1632.0
2024-07-23,-1632.0
2024-07-24,-1632.0
2024-07-25,-1632.0
2024-07-26,-1632.0
2024-07-27,-1632.0
2024-07-28,-1632.0
2024-07-29,-1632.0
2024-07-30,-1632.0
2024-07-31,-1632.0
2024-08-01,-1632.0
2024-08-02,-1632.0
2024-08-03,-1632.0
2024-08-04,-1632.0
2024-08-05,-1632.0
2024-08-06,-1632.0
2024-08-07,-1632.0
2024-08-08,-1632.0
2024-08-09,-1632.0
2024-08-10,-1632.0
2024-08-11,-1632.0
2024-08-12,-1632.0
2024-08-13,-1632.0
2024-08-14,-1632.0
2024-08-15,-1632.0
2024-08-16,-1632.0
2024-08-17,-1632.0
2024-08-18,-1632.0
2024-08-19,-1632.0
2024-08-20,-1632.0
2024-08-21,-1632.0
2024-08-22,-1632.0
2024-08-23,-1632.0
2024-08-24,-1632.0
2024-08-25,-1632.0
2024-08-26,-1632.0
2024-08-27,-1632.0
2024-08-28,-1632.0
2024-08-29,-1632.0
2024-08-30,191.0
2024-08-31,190.0
2024-09-01,185.0
2024-09-02,185.0
2024-09-03,185.0
2024-09-04,185.0
2024-09-05,194.0
2024-09-06,190.0
2024-09-07,185.0
2024-09-08,185.0
2024-09-09,188.0
2024-09-10,188.0
2024-09-11,193.0
2024-09-12,185.0
2024-09-13,194.0
2024-09-14,198.0
2024-09-15,186.0
2024-09-16,185.0
2024-09-17,185.0
2024-09-18,185.0
2024-09-19,185.0
2024-09-20,191.0
2024-09-21,190.0
2024-09-22,185.0
2024-09-23,185.0
2024-09-24,185.0
2024-09-25,185.0
2024-09-26,185.0
2024-09-27,191.0
2024-09-28,191.0
2024-09-29,185.0
2024-09-30,185.0
2024-10-01,185.0
2024-10-02,185.0
2024-10-03,242.0
2024-10-04,253.0
2024-10-05,250.0
2024-10-06,185.0
2024-10-07,185.0
2024-10-08,185.0
2024-10-09,185.0
2024-10-10,185.0
2024-10-11,198.0
2024-10-12,199.0
2024-10-13,185.0
2024-10-14,185.0
2024-10-15,185.0
2024-10-16,185.0
2024-10-17,185.0
2024-10-18,206.0
2024-10-19,216.0
2024-10-20,188.0
2024-10-21,185.0
2024-10-22,185.0
2024-10-23,185.0
2024-10-24,185.0
2024-10-25,201.0
2024-10-26,204.0
2024-10-27,190.0
2024-10-28,191.0
2024-10-29,188.0
2024-10-30,185.0
2024-10-31,186.0
2024-11-01,193.0
2024-11-02,194.0
